player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Erin,Crewmate,4703,20,4723,google/gemini-pro-1.5
Charlie,Crewmate,4658,20,4678,google/gemini-pro-1.5
Alice,Crewmate,4396,20,4416,google/gemini-pro-1.5
Dave,Impostor,9406,20,9426,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4362,20,4382,google/gemini-pro-1.5
Charlie,Crewmate,4317,20,4337,google/gemini-pro-1.5
Alice,Crewmate,4055,20,4075,google/gemini-pro-1.5
Dave,Impostor,9406,20,9426,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4362,20,4382,google/gemini-pro-1.5
Charlie,Crewmate,4317,20,4337,google/gemini-pro-1.5
Alice,Crewmate,4055,20,4075,google/gemini-pro-1.5
Dave,Impostor,9437,20,9457,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4644,20,4664,google/gemini-pro-1.5
Charlie,Crewmate,4317,20,4337,google/gemini-pro-1.5
Alice,Crewmate,4055,20,4075,google/gemini-pro-1.5
Dave,Impostor,9465,20,9485,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,4672,20,4692,google/gemini-pro-1.5
Charlie,Crewmate,4627,20,4647,google/gemini-pro-1.5
Alice,Crewmate,4055,20,4075,google/gemini-pro-1.5
Erin,Impostor,1052,20,1072,google/gemini-flash-1.5
Alice,Crewmate,1124,20,1144,anthropic/claude-3-5-haiku
Bob,Crewmate,1153,20,1173,anthropic/claude-3-5-haiku
Charlie,Crewmate,1095,20,1115,anthropic/claude-3-5-haiku
Erin,Impostor,1062,20,1082,google/gemini-flash-1.5
Dave,Crewmate,892,20,912,anthropic/claude-3-5-haiku
Alice,Crewmate,878,20,898,anthropic/claude-3-5-haiku
Bob,Crewmate,894,20,914,anthropic/claude-3-5-haiku
Charlie,Crewmate,868,20,888,anthropic/claude-3-5-haiku
Erin,Impostor,1052,20,1072,google/gemini-flash-1.5
Alice,Crewmate,868,20,888,anthropic/claude-3-5-haiku
Bob,Crewmate,884,20,904,anthropic/claude-3-5-haiku
Charlie,Crewmate,858,20,878,anthropic/claude-3-5-haiku
Erin,Impostor,1052,20,1072,google/gemini-flash-1.5
Alice,Crewmate,1124,20,1144,anthropic/claude-3-5-haiku
Bob,Crewmate,884,20,904,anthropic/claude-3-5-haiku
Charlie,Crewmate,858,20,878,anthropic/claude-3-5-haiku
Erin,Impostor,1052,20,1072,google/gemini-flash-1.5
Alice,Crewmate,1124,20,1144,anthropic/claude-3-5-haiku
Bob,Crewmate,1153,20,1173,anthropic/claude-3-5-haiku
Charlie,Crewmate,858,20,878,anthropic/claude-3-5-haiku
